SS,Source PubMed,Question,Answer,Reasoning,Factuality_Score,Reasoning_Score,Completeness_Score
45,https://pmc.ncbi.nlm.nih.gov/articles/PMC10397454/,"A 48-year-old male from Papua, Indonesia, presents to the emergency department with a 6-hour history of high-grade fever (41°C), severe chills, and inability to sit or stand unaided (prostration). His medical history is significant for a splenectomy performed two months prior for massive splenomegaly. Vital signs reveal tachycardia (120 bpm) and significant hypotension (80/50 mmHg). Physical examination is negative for pallor or hepatomegaly. Laboratory evaluation shows a creatinine of 1.7 mg/dL and elevated cell-free hemoglobin, but normal platelet and white blood cell counts. A peripheral blood smear demonstrates numerous intraerythrocytic parasites (predominantly trophozoites) alongside erythrocytes containing nuclear remnants (Howell-Jolly bodies). Rapid diagnostic testing is positive for pan-pLDH but negative for HRP2. What is the most likely diagnosis?",Severe Plasmodium vivax Malaria,"1. Epidemiology/Risk: The patient resides in a malaria-endemic region (Papua, Indonesia) and has a critical risk factor: recent splenectomy (asplenia). The lack of splenic filtration allows for higher parasite biomass and intravascular hemolysis. 2. Clinical Anchor: The presentation of *Plasmodium vivax* (identified by morphology and pan-pLDH positivity without HRP2) manifesting with 'severe' criteria (hypotension/shock, prostration, AKI) is the anchor. Severe disease is less common in *P. vivax* than *P. falciparum* but is strongly associated with the asplenic state. 3. Differential Exclusion: Post-splenectomy Sepsis (e.g., *Streptococcus pneumoniae*) is the most urgent differential given the hypotension and fever in an asplenic patient; however, the presence of malaria parasites on smear and the specific negative bacterial workup (implied by recovery on antimalarials alone) point to malaria as the primary cause. *P. falciparum* is excluded by the negative HRP2 test and smear morphology. 4. Confirmation: The diagnosis is confirmed by the identification of *P. vivax* on microscopy in the context of severe physiological decompensation (shock), a known complication of vivax malaria in the absence of splenic function.",`10,10,5
1,https://pmc.ncbi.nlm.nih.gov/articles/PMC4608352/,"A 50-year-old male physician is medically evacuated to a high-level isolation unit after developing a febrile illness while working in Sierra Leone. His initial clinical course is dominated by severe gastrointestinal symptoms requiring aggressive fluid resuscitation. However, days after admission, his condition deteriorates significantly with the onset of profound hypoxia and respiratory failure, necessitating advanced airway management and mechanical ventilation. Chest imaging reveals diffuse pulmonary infiltrates. Diagnostic bronchoscopy is performed, and molecular testing of the bronchial aspirate reveals an extremely high viral load. Concurrently, laboratory testing identifies a parasitic co-infection. He is treated with experimental antiviral therapies and supportive care, eventually achieving full recovery. What is the most likely diagnosis?",Ebola Virus Disease (complicated by Ebola Interstitial Pneumonia),"1. Epidemiology: The patient is a healthcare worker returning from Sierra Leone, a high-risk demographic for acquiring viral hemorrhagic fevers like Ebola Virus Disease (EVD). 2. Clinical Anchor: While EVD typically manifests with gastrointestinal and hemorrhagic symptoms, this case is anchored by the rare development of primary respiratory failure. The pathognomonic finding is the detection of high viral load in the lung fluid (bronchial aspirate), confirming direct viral invasion of the lung parenchyma (Viral Interstitial Pneumonia), rather than just secondary ARDS or bacterial superinfection. 3. Differential Exclusion: The patient has a confirmed co-infection with Plasmodium vivax (Malaria). While severe malaria can cause respiratory distress (ARDS), the specific finding of high viral RNA in the lung fluid confirms that the respiratory failure was primarily driven by the viral pneumonitis, not the parasite. 4. Confirmation: The isolation of the virus from the respiratory tract confirms the diagnosis of EVD-associated interstitial pneumonia.",10,10,5
2,https://pmc.ncbi.nlm.nih.gov/articles/PMC7888312/,"A 25-year-old male motorcycle taxi driver in the Democratic Republic of the Congo presents with a severe, acute febrile illness characterized by nausea, vomiting, and asthenia. His medical history is notable for a confirmed episode of Ebola Virus Disease (EVD) six months prior, for which he was treated with monoclonal antibodies (mAb114) and discharged after consecutive negative blood PCR tests. He also received the rVSV-ZEBOV vaccine 12 months ago. Following his initial discharge, a semen sample tested negative for viral RNA. On this current presentation, his condition rapidly deteriorates, leading to death. Post-mortem blood testing is positive for Ebola Virus RNA. Genomic sequencing of the virus from this fatal episode reveals that the viral strain has evolved at a rate four-fold slower than the concurrent outbreak strain circulating in the community. What is the most likely diagnosis?",Ebola Virus Disease (Relapse),"1. Epidemiology/Risk: The patient is a known survivor of Ebola Virus Disease in an endemic region. While survivors typically have immunity, this case highlights the rare risk of viral persistence. 2. Clinical Anchor: The core clinical puzzle is the recurrence of active viremia and fatal disease in a patient who was previously vaccinated, treated, and declared 'cured' (serocleared). 3. Differential Exclusion: The primary differential is 'Reinfection' (exposure to a new case in the community). However, this is explicitly ruled out by the genomic data: if it were a reinfection, the virus would match the genetic drift of the currently circulating strains. The 'slower evolutionary rate' indicates the virus was dormant within the host (reduced replication pressure) rather than transmitting through the population. 4. Confirmation: The phylogenetic analysis confirming the virus is a direct descendant of his original infection, with minimal mutations, confirms a diagnosis of EVD Relapse (recrudescence) from a persistent anatomical reservoir.",10,10,5
3,https://pmc.ncbi.nlm.nih.gov/articles/PMC6580501/,"A 22-year-old female, gravida 6 para 4, at 34 weeks of gestation presents to a general hospital in the Democratic Republic of the Congo. She reports a 2-day history of acute onset fever, vomiting, and general malaise. She denies any bleeding diathesis. On admission, she is febrile (38.5°C) but hemodynamically stable. Polymerase chain reaction (PCR) testing confirms a viral infection, and she is transferred to a specialized treatment center. She is managed with oral rehydration, antibiotics, and antipyretics. Remarkably, her symptoms resolve completely within one week, and she is discharged with a viable pregnancy. Four weeks later, at 38 weeks gestation, she returns in spontaneous labor and delivers a live-born female infant. Umbilical cord blood and neonatal swabs are collected for testing. What is the most likely diagnosis?",Ebola Virus Disease (Maternal Survival with Healthy Neonate),"1. Epidemiology: The patient presents in the Democratic Republic of the Congo (DRC) during an active outbreak, a primary risk factor for Ebola Virus Disease (EVD). 2. Clinical Anchor: The presentation of acute fever and gastrointestinal symptoms (vomiting) in a pregnant woman in this region requires ruling out EVD. 3. The Clinical Paradox: Historically, EVD in pregnancy is associated with extremely high rates of spontaneous abortion and neonatal mortality (>90%) due to high viral replication in the placenta. However, this case represents the rare exception (often termed a 'miracle baby'). 4. Confirmation: The maternal PCR confirmation anchors the diagnosis. The analytic takeaway is that maternal survival with a healthy, EBOV-negative neonate is possible if the maternal disease phenotype is mild and the viral load is insufficient to breach the placental barrier, preventing vertical transmission.",10,4,4
4,https://pmc.ncbi.nlm.nih.gov/articles/PMC4584529/,"A male physician presents to emergency medical services in New York City. He reports a 2-day history of fatigue and a documented oral temperature of 100.3°F (37.9°C). He recently returned to the United States nine days prior, after completing a rotation treating patients during a viral epidemic in Guinea. He strictly adhered to personal protective equipment protocols during his deployment. Review of systems is negative for vomiting, diarrhea, cough, myalgia, or abnormal bleeding. He is immediately placed in isolation for evaluation. Initial blood work is sent for nucleic acid amplification testing. What is the most likely diagnosis?",Ebola Virus Disease,"1. Epidemiology/Risk: The patient is a humanitarian aid worker returning from Guinea, a region with active transmission, which is the single most important risk factor. 2. Clinical Anchor: The presentation represents the early 'dry phase' of the disease (fever and profound fatigue) appearing within the classic incubation period (8-10 days post-exposure), even in the absence of the 'wet' gastrointestinal symptoms that typically develop later. 3. Differential Exclusion: Malaria is the most common cause of fever in travelers returning from West Africa and must be ruled out; however, the specific history of direct care for patients with hemorrhagic fever places this diagnosis at the top of the differential. 4. Confirmation: The diagnosis is confirmed by the detection of viral RNA via PCR in the blood, despite the mild initial clinical presentation.",10,10,5
6,https://pmc.ncbi.nlm.nih.gov/articles/PMC11374124/,"A 25-year-old female presents with a 1-month history of a generalized skin eruption characterized by thick, gray, crusty keratotic scales covering the majority of her body. She reports that the lesions are only mildly pruritic, with some worsening at night. Her medical history is significant for severe malnutrition and advanced autoimmune disease, rendering her immunocompromised. Family members living in the same household deny similar symptoms. On physical examination, the skin shows diffuse grayish hyperkeratosis. Microscopic examination of skin scrapings prepared with potassium hydroxide reveals a high burden of mites and eggs. Despite the initiation of therapy, the patient's clinical course is complicated by secondary bacterial infection and sepsis. What is the most likely diagnosis?",Crusted Scabies (Norwegian Scabies),"1. Epidemiology/Risk: The patient's immunocompromised and malnourished state is the primary precipitating factor. In immunocompetent hosts, the immune system limits the mite population; in immunocompromised hosts, this control mechanism fails, allowing the mites to proliferate into the millions. 2. Clinical Anchor: The description of 'thick, gray, crusty keratotic scales' is pathognomonic for Crusted Scabies. The specific grayish color is a strong clinical clue mentioned in the report.  3. Differential Exclusion: The patient reports only mild itching (the 'Pruritus Paradox'). This is a crucial discriminator; classic scabies is intensely pruritic due to hypersensitivity. In Crusted Scabies, the immune response—and thus the itch—is blunted. 4. Confirmation: The KOH prep showing numerous mites and eggs confirms the infestation, distinguishing it from psoriasis or other exfoliative dermatitides.",10,10,5
7,https://pmc.ncbi.nlm.nih.gov/articles/PMC7941825/,"A 54-year-old male presents with a 6-month history of erythematous, hyperkeratotic, crusted plaques distributed over the trunk, gluteal region, and bilateral extremities. He reports that the lesions are only mildly pruritic. His medical history is significant for type 2 diabetes mellitus and he has received multiple intramuscular injections of dexamethasone from a general practitioner for the management of itching. On physical examination, extensive thick crusts are noted. Laboratory evaluation reveals uncontrolled hyperglycemia with a random blood sugar of 498 mg/dL and an HbA1c of 10.1%. Microscopic examination of skin scrapings from the lesions reveals numerous mites, eggs, and scybala. What is the most likely diagnosis?",Crusted Scabies (Norwegian Scabies),"1. Epidemiology/Risk: The patient has two major risk factors for immunosuppression: uncontrolled diabetes (HbA1c 10.1%) and iatrogenic immunosuppression from repeated corticosteroid (dexamethasone) injections. This compromised immune state allows for the uncontrolled proliferation of mites. 2. Clinical Anchor: The presentation of 'hyperkeratotic crusted plaques' rather than the typical inflammatory papules of scabies is the key visual anchor. The paradoxical mildness of the itch (despite the massive infestation) is a classic feature of the crusted variant, resulting from the blunted immune response. 3. Differential Exclusion: Psoriasis is a common differential for hyperkeratotic plaques (psoriasiform); however, the presence of mites on scraping and the context of immunosuppression rule out a primary inflammatory dermatosis. 4. Confirmation: The direct visualization of numerous Sarcoptes scabiei mites, eggs, and fecal pellets (scybala) on microscopy confirms the diagnosis.",10,10,5
9,https://pmc.ncbi.nlm.nih.gov/articles/PMC9984309/,"A 59-year-old female presents to the emergency department complaining of rib pain and a generalized, evolving skin rash present for one month. Her medical history is significant for a 30-year history of untreated type 2 diabetes mellitus. Notably, she reports self-medicating with topical corticosteroids for seven weeks to treat pruritus prior to presentation. Physical examination reveals a cachectic woman (BMI 16.4 kg/m²) with widespread, psoriasiform, yellowish-brown hyperkeratotic plaques. These lesions are fissured and firm, predominantly affecting the dorsal hands and feet, but also involving the elbows, anterior neck, and posterior thorax. The plaques are tender on palpation. A skin scraping (Muller's test) is performed on the hand lesions using mineral oil. What is the most likely diagnosis?",Crusted Scabies (Norwegian Scabies),"1. Epidemiology/Risk: The patient has multiple risk factors for severe infestation: untreated diabetes, malnutrition (low BMI), and most importantly, the inappropriate long-term use of topical corticosteroids. Steroids suppress the local immune response and itch sensation, allowing uncontrolled mite proliferation. 2. Clinical Anchor: The presence of thick, fissured, yellowish-brown hyperkeratotic plaques (psoriasiform appearance) on the hands and feet is the visual hallmark of Crusted Scabies. 3. Differential Exclusion: Psoriasis is a visual differential due to the thick plaques; however, the rapid evolution (1 month) and the context of steroid misuse favor an infectious etiology. 4. Confirmation: The Muller's test (skin scraping) revealing an ovoid body with four pairs of short legs confirms the presence of Sarcoptes scabiei.",10,10,5
10,https://pmc.ncbi.nlm.nih.gov/articles/PMC4909726/,"An 86-year-old female is evaluated for a generalized rash that has been present for three months. The patient is fully bedridden and has a history of advanced dementia and chronic kidney disease. Physical examination reveals extensive, grey-yellowish hyperkeratotic plaques involving the palms, axillae, face, and chest, accompanied by generalized skin thickening. She appears uncomfortable and exhibits signs of intense pruritus. Dermatoscopy of the lesions reveals multiple dense triangular structures. Several family members and residents at her care facility report developing itchy rashes recently. A skin biopsy and scraping are performed. What is the most likely diagnosis?",Crusted Scabies (Norwegian Scabies),"1. Epidemiology/Risk: The patient represents the classic demographic for this condition: elderly, bedridden, and cognitively impaired (dementia). These factors prevent effective scratching and self-care, allowing for unchecked mite proliferation. 2. Clinical Anchor: The presence of extensive 'grey-yellowish hyperkeratotic plaques' on the palms and face is pathognomonic. The dermatoscopic finding of the 'delta wing jet sign' (dense triangles) corresponds to the head parts of the mite. 3. Differential Exclusion: While the hyperkeratosis might suggest psoriasis or eczema, the contagious nature of the condition (affecting relatives and other residents) definitively rules out non-infectious dermatoses. 4. Confirmation: The diagnosis is confirmed by the visualization of Sarcoptes scabiei mites on histopathology and skin scraping.",10,10,5
11,"https://pmc.ncbi.nlm.nih.gov/articles/PMC8103483/

","A 23-year-old female presents to the outpatient department with a 1-year history of persistent, dull lower back pain that has begun to inhibit her activities of daily living. She resides in a rural village near the border of Southern Angola. Over the past 6 months, she reports unintentional weight loss, night sweats, and loss of appetite, but denies any cough, trauma, or family history of malignancy. She also notes a growing deformity in her lumbar region. Physical examination reveals tenderness over the lower back and sacrum with a palpable structural kyphosis (gibbus deformity) in the lumbar spine. Neurological assessment shows mild lower extremity weakness but preserved rectal sphincter tone and a normal gait. Laboratory results indicate a non-reactive HIV test, normal complete blood count, and normal renal function; however, the erythrocyte sedimentation rate (ESR) is markedly elevated at 130 mm/hour. A chest radiograph shows no evidence of pulmonary disease, and sputum nucleic acid amplification testing is negative. Spine imaging is obtained. What is the most likely diagnosis?",Pott's Disease (Tuberculous Spondylitis),"1. Epidemiology/Risk: The patient is from a high-prevalence region (Southern Angola) presenting with chronic back pain and classic B-symptoms (weight loss, night sweats). This clinical picture is highly suggestive of a chronic infectious or malignant process. 2. Clinical Anchor: The presence of a gibbus deformity is a hallmark sign of spinal tuberculosis. It results from the destruction and collapse of the anterior vertebral body, leading to acute kyphotic angulation. 3. Differential Exclusion: While malignancy (metastasis or primary bone tumor) is a consideration, the patient's young age (23) and the markedly elevated ESR (130 mm/hr) in an endemic setting strongly favor an infectious etiology. Pyogenic osteomyelitis is usually more acute and febrile. 4. Confirmation: Although pulmonary tests were negative, the clinical triad of gibbus deformity, constitutional symptoms, and high inflammatory markers in an endemic area is sufficient for the diagnosis of extrapulmonary tuberculosis (Pott's disease).",10,10,5
